Train Time,Train Bid_ask_spread,Test Time,Test Bid_ask_spread,Predicted Train Time,Predicted Bid_ask_spread
07:34:43,3.36,,,07:34:43,3.36
07:34:44,2.73,,,07:34:44,2.73
07:34:45,17.15,,,07:34:45,17.15
07:34:46,9.0,,,07:34:46,9.0
07:34:47,12.65,,,07:34:47,12.65
07:34:48,17.0,,,07:34:48,17.0
07:34:49,17.0,,,07:34:49,17.0
07:34:50,13.18,,,07:34:50,13.18
07:34:51,13.0,,,07:34:51,13.0
07:34:52,13.0,,,07:34:52,13.0
07:34:53,12.24,,,07:34:53,12.24
07:34:54,15.65,,,07:34:54,15.65
07:34:55,14.62,,,07:34:55,14.62
07:34:56,13.0,,,07:34:56,13.0
07:34:57,11.33,,,07:34:57,11.33
07:34:58,6.82,,,07:34:58,6.82
07:34:59,2.27,,,07:34:59,2.27
07:35:00,6.54,,,07:35:00,6.54
07:35:01,7.33,,,07:35:01,7.33
07:35:02,5.78,,,07:35:02,5.78
07:35:03,3.97,,,07:35:03,3.97
07:35:04,4.0,,,07:35:04,4.0
07:35:05,3.78,,,07:35:05,3.78
07:35:06,3.16,,,07:35:06,3.16
07:35:07,12.93,,,07:35:07,12.93
07:35:08,10.43,,,07:35:08,10.43
07:35:09,21.68,,,07:35:09,21.68
07:35:10,22.0,,,07:35:10,22.0
07:35:11,19.27,,,07:35:11,19.27
07:35:12,7.57,,,07:35:12,7.57
07:35:13,1.5,,,07:35:13,1.5
07:35:14,1.95,,,07:35:14,1.95
07:35:15,3.61,,,07:35:15,3.61
07:35:16,14.83,,,07:35:16,14.83
07:35:17,16.0,,,07:35:17,16.0
07:35:18,16.1,,,07:35:18,16.1
07:35:19,14.33,,,07:35:19,14.33
07:35:20,4.94,,,07:35:20,4.94
07:35:21,2.82,,,07:35:21,2.82
07:35:22,1.59,,,07:35:22,1.59
07:35:23,3.32,,,07:35:23,3.32
07:35:24,14.85,,,07:35:24,14.85
07:35:25,15.0,,,07:35:25,15.0
07:35:26,15.0,,,07:35:26,15.0
07:35:27,15.0,,,07:35:27,15.0
07:35:28,16.93,,,07:35:28,16.93
07:35:29,17.0,,,07:35:29,17.0
07:35:30,17.0,,,07:35:30,17.0
07:35:31,17.16,,,07:35:31,17.16
07:35:32,15.56,,,07:35:32,15.56
07:35:33,12.81,,,07:35:33,12.81
07:35:34,7.68,,,07:35:34,7.68
07:35:35,1.73,,,07:35:35,1.73
07:35:36,9.72,,,07:35:36,9.72
07:35:37,8.5,,,07:35:37,8.5
07:35:38,5.2,,,07:35:38,5.2
07:35:39,4.83,,,07:35:39,4.83
07:35:40,3.38,,,07:35:40,3.38
07:35:41,6.28,,,07:35:41,6.28
07:35:42,3.12,,,07:35:42,3.12
07:35:43,3.08,,,07:35:43,3.08
07:35:44,6.69,,,07:35:44,6.69
07:35:45,5.33,,,07:35:45,5.33
07:35:46,1.43,,,07:35:46,1.43
07:35:47,1.97,,,07:35:47,1.97
07:35:48,12.37,,,07:35:48,12.37
07:35:49,15.89,,,07:35:49,15.89
07:35:50,17.43,,,07:35:50,17.43
07:35:51,15.82,,,07:35:51,15.82
07:35:52,15.13,,,07:35:52,15.13
07:35:53,14.77,,,07:35:53,14.77
07:35:54,8.96,,,07:35:54,8.96
07:35:55,14.29,,,07:35:55,14.29
07:35:56,13.71,,,07:35:56,13.71
07:35:57,11.93,,,07:35:57,11.93
07:35:58,11.0,,,07:35:58,11.0
07:35:59,11.0,,,07:35:59,11.0
07:36:00,10.36,,,07:36:00,10.36
07:36:01,10.0,,,07:36:01,10.0
07:36:02,7.4,,,07:36:02,7.4
07:36:03,6.05,,,07:36:03,6.05
07:36:04,2.61,,,07:36:04,2.61
07:36:05,2.94,,,07:36:05,2.94
07:36:06,8.65,,,07:36:06,8.65
07:36:07,88.96,,,07:36:07,88.96
07:36:08,47.46,,,07:36:08,47.46
07:36:09,23.71,,,07:36:09,23.71
07:36:10,10.22,,,07:36:10,10.22
07:36:11,8.7,,,07:36:11,8.7
07:36:12,8.73,,,07:36:12,8.73
07:36:13,9.53,,,07:36:13,9.53
07:36:14,8.89,,,07:36:14,8.89
07:36:15,5.77,,,07:36:15,5.77
07:36:16,1.77,,,07:36:16,1.77
07:36:17,32.47,,,07:36:17,32.47
07:36:18,46.15,,,07:36:18,46.15
07:36:19,22.78,,,07:36:19,22.78
07:36:20,231.0,,,07:36:20,231.0
07:36:21,113.2,,,07:36:21,113.2
07:36:22,7.0,,,07:36:22,7.0
07:36:23,5.38,,,07:36:23,5.38
07:36:24,10.3,,,07:36:24,10.3
07:36:25,6.17,,,07:36:25,6.17
07:36:26,9.2,,,07:36:26,9.2
07:36:27,10.71,,,07:36:27,10.71
07:36:28,5.05,,,07:36:28,5.05
07:36:29,2.76,,,07:36:29,2.76
07:36:30,18.42,,,07:36:30,18.42
07:36:31,25.8,,,07:36:31,25.8
07:36:32,23.98,,,07:36:32,23.98
07:36:33,175.18,,,07:36:33,175.18
07:36:34,133.57,,,07:36:34,133.57
07:36:35,78.89,,,07:36:35,78.89
07:36:36,96.56,,,07:36:36,96.56
07:36:37,99.0,,,07:36:37,99.0
07:36:38,18.0,,,07:36:38,18.0
07:36:39,188.1,,,07:36:39,188.1
07:36:40,102.62,,,07:36:40,102.62
07:36:41,84.32,,,07:36:41,84.32
07:36:42,24.8,,,07:36:42,24.8
07:36:43,20.8,,,07:36:43,20.8
07:36:44,14.07,,,07:36:44,14.07
07:36:45,11.0,,,07:36:45,11.0
07:36:46,11.75,,,07:36:46,11.75
07:36:47,9.35,,,07:36:47,9.35
07:36:48,3.7,,,07:36:48,3.7
07:36:49,4.65,,,07:36:49,4.65
07:36:50,1.88,,,07:36:50,1.88
07:36:51,1.44,,,07:36:51,1.44
07:36:52,103.83,,,07:36:52,103.83
07:36:53,236.25,,,07:36:53,236.25
07:36:54,263.0,,,07:36:54,263.0
07:36:55,137.16,,,07:36:55,137.16
07:36:56,201.38,,,07:36:56,201.38
07:36:57,41.67,,,07:36:57,41.67
07:36:58,13.38,,,07:36:58,13.38
07:36:59,10.41,,,07:36:59,10.41
07:37:00,15.27,,,07:37:00,15.27
07:37:01,8.37,,,07:37:01,8.37
07:37:02,129.73,,,07:37:02,129.73
07:37:03,146.81,,,07:37:03,146.81
07:37:04,181.93,,,07:37:04,181.93
07:37:05,30.0,,,07:37:05,30.0
07:37:06,29.5,,,07:37:06,29.5
07:37:07,29.87,,,07:37:07,29.87
07:37:08,27.91,,,07:37:08,27.91
07:37:09,25.4,,,07:37:09,25.4
07:37:10,21.92,,,07:37:10,21.92
07:37:11,18.78,,,07:37:11,18.78
07:37:12,17.61,,,07:37:12,17.61
07:37:13,17.36,,,07:37:13,17.36
07:37:14,12.42,,,07:37:14,12.42
07:37:15,9.18,,,07:37:15,9.18
07:37:16,6.23,,,07:37:16,6.23
07:37:17,3.22,,,07:37:17,3.22
07:37:18,1.04,,,07:37:18,1.04
07:37:19,3.78,,,07:37:19,3.78
07:37:20,1.8,,,07:37:20,1.8
07:37:21,48.95,,,07:37:21,48.95
07:37:22,159.75,,,07:37:22,159.75
07:37:23,75.83,,,07:37:23,75.83
07:37:24,89.41,,,07:37:24,89.41
07:37:25,116.6,,,07:37:25,116.6
07:37:26,115.0,,,07:37:26,115.0
07:37:27,112.02,,,07:37:27,112.02
07:37:28,84.03,,,07:37:28,84.03
07:37:29,66.64,,,07:37:29,66.64
07:37:30,63.26,,,07:37:30,63.26
07:37:31,62.45,,,07:37:31,62.45
07:37:32,59.23,,,07:37:32,59.23
07:37:33,38.25,,,07:37:33,38.25
07:37:34,29.85,,,07:37:34,29.85
07:37:35,18.3,,,07:37:35,18.3
07:37:36,12.52,,,07:37:36,12.52
07:37:37,9.32,,,07:37:37,9.32
07:37:38,6.56,,,07:37:38,6.56
07:37:39,5.36,,,07:37:39,5.36
07:37:40,2.64,,,07:37:40,2.64
07:37:41,2.45,,,07:37:41,2.45
07:37:42,3.57,,,07:37:42,3.57
07:37:43,3.05,,,07:37:43,3.05
07:37:44,2.76,,,07:37:44,2.76
07:37:45,11.58,,,07:37:45,11.58
07:37:46,99.0,,,07:37:46,99.0
07:37:47,71.86,,,07:37:47,71.86
07:37:48,176.5,,,07:37:48,176.5
07:37:49,279.14,,,07:37:49,279.14
07:37:50,321.56,,,07:37:50,321.56
07:37:51,416.6,,,07:37:51,416.6
07:37:52,450.0,,,07:37:52,450.0
07:37:53,268.0,,,07:37:53,268.0
07:37:54,43.94,,,07:37:54,43.94
07:37:55,61.67,,,07:37:55,61.67
07:37:56,27.02,,,07:37:56,27.02
07:37:57,11.83,,,07:37:57,11.83
07:37:58,10.17,,,07:37:58,10.17
07:37:59,8.69,,,07:37:59,8.69
07:38:00,4.63,,,07:38:00,4.63
07:38:01,3.86,,,07:38:01,3.86
07:38:02,5.04,,,07:38:02,5.04
07:38:03,5.57,,,07:38:03,5.57
07:38:04,4.52,,,07:38:04,4.52
07:38:05,5.33,,,07:38:05,5.33
07:38:06,17.91,,,07:38:06,17.91
07:38:07,17.6,,,07:38:07,17.6
