,Predicted Train Time,Predicted Mid-Price,Buy/Sell,Trade_Action_Percentile,Trade_Action_Tighter
430,14:25:10,316.9476901730691,Hold,Hold,Hold
431,14:25:11,316.9476901730691,Hold,Hold,Hold
432,14:25:12,316.9476901730691,Hold,Hold,Hold
433,14:25:13,316.9476901730691,Hold,Hold,Hold
434,14:25:14,316.9476901730691,Hold,Hold,Hold
435,14:25:15,316.9476901730691,Hold,Hold,Hold
436,14:25:16,316.9476901730691,Hold,Hold,Hold
437,14:25:17,316.9476901730691,Hold,Hold,Hold
438,14:25:18,316.9476901730691,Hold,Hold,Hold
439,14:25:19,316.9476901730691,Hold,Hold,Hold
440,14:25:20,316.9476901730691,Hold,Hold,Hold
441,14:25:21,316.9476901730691,Hold,Hold,Hold
442,14:25:22,316.9476901730691,Hold,Hold,Hold
443,14:25:23,316.9476901730691,Hold,Hold,Hold
444,14:25:24,316.9476901730691,Hold,Hold,Hold
445,14:25:25,316.9476901730691,Hold,Hold,Hold
446,14:25:26,316.9476901730691,Hold,Hold,Hold
447,14:25:27,316.9476901730691,Hold,Hold,Hold
448,14:25:28,316.9476901730691,Hold,Hold,Hold
449,14:25:29,316.9476901730691,Hold,Hold,Hold
450,14:25:30,316.9476901730691,Hold,Hold,Hold
451,14:25:31,316.9476901730691,Hold,Hold,Hold
452,14:25:32,316.9476901730691,Hold,Hold,Hold
453,14:25:33,316.9476901730691,Hold,Hold,Hold
454,14:25:34,316.9476901730691,Hold,Hold,Hold
455,14:25:35,316.9476901730691,Hold,Hold,Hold
456,14:25:36,316.9476901730691,Hold,Hold,Hold
457,14:25:37,316.9476901730691,Hold,Hold,Hold
458,14:25:38,316.9476901730691,Hold,Hold,Hold
459,14:25:39,316.9476901730691,Hold,Hold,Hold
460,14:25:40,316.9476901730691,Hold,Hold,Hold
461,14:25:41,316.9476901730691,Hold,Hold,Hold
462,14:25:42,316.9476901730691,Hold,Hold,Hold
463,14:25:43,316.9476901730691,Hold,Hold,Hold
464,14:25:44,316.9476901730691,Hold,Hold,Hold
