,DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Trade_Price_Min,Trade_Price_Max,Trade_Volume,Trade_Price_Mean,MACD_DIF,MACD_DEA,MACD,K,D,J
39,2025-01-08 10:00:00,338.61,182376.0,346.49,124842.0,335.17,185931.0,354.76,130194.0,342.55,7.88,368307.0,255036.0,2.6,623343,113271.0,-93.5,0.12,319.29,354.0,4983.0,340.02,15.249445958438798,17.645809035556127,-2.3963630771173285,45.94166603795603,60.073781191725075,17.677435730417955
40,2025-01-08 11:00:00,330.23,174502.0,337.59,124550.0,326.61,186797.0,348.38,131457.0,333.91,7.36,361299.0,256007.0,2.7,617306,105292.0,-120.5,0.12,315.0,342.6,5150.0,331.82,12.740693851744481,16.6647859987938,-3.9240921470493184,38.637301168161166,52.9282878505371,10.055327803409284
41,2025-01-08 12:00:00,332.21,190308.0,339.28,126029.0,328.92,187568.0,346.65,135045.0,335.74,7.07,377876.0,261074.0,2.13,638950,116802.0,-949.0,0.12,318.0,344.0,5065.0,333.21,10.740837427961253,15.47999628462729,-4.739158856666037,34.429629350202674,46.76206835042563,9.764751349756764
42,2025-01-08 13:00:00,328.66,192512.0,335.62,127254.0,325.74,188449.0,341.8,140232.0,332.14,6.95,380961.0,267486.0,1.8,648447,113475.0,-286.0,0.11,313.0,337.0,4942.0,329.57,8.761225273396462,14.136242082381125,-5.375016808984663,30.787601599898707,41.43724610024999,9.488312599196135
43,2025-01-08 14:00:00,322.07,163236.0,329.75,113689.0,318.93,170062.0,341.22,118857.0,325.91,7.68,333298.0,232546.0,2.81,565844,100752.0,-80.5,0.12,310.0,334.0,4718.0,322.87,6.575931132089011,12.624179892322703,-6.048248760233692,26.40178006203293,36.425424087510976,6.354492011076843
44,2025-01-08 15:00:00,320.41,127951.0,330.55,91760.0,316.1,129912.0,355.16,93339.0,325.48,10.15,257863.0,185099.0,4.32,442962,72764.0,-1723.5,0.11,308.0,333.0,4521.0,321.05,4.643681521297253,11.028080218117614,-6.3843986968203605,24.617315740280027,32.48938797176733,8.873171277305431
45,2025-01-09 07:00:00,317.25,85098.0,324.0,61172.0,313.41,94008.0,334.04,65908.0,320.63,6.75,179106.0,127080.0,2.43,306186,52026.0,-940.0,0.11,308.0,328.0,2485.0,319.07,2.9189425781265186,9.406252690119397,-6.487310111992878,22.77361279237059,29.25079624530175,9.81924588650827
46,2025-01-09 08:00:00,319.8,193004.0,326.43,125929.0,316.13,203002.0,335.38,137753.0,323.12,6.63,396006.0,263682.0,2.43,659688,132324.0,-494.5,0.14,307.0,333.0,5146.0,321.44,1.7234469095098461,7.869691533997487,-6.1462446244876405,25.005537779947737,27.835710090183746,19.345193159475727
47,2025-01-09 09:00:00,320.29,180588.0,327.26,124688.0,316.56,193755.0,335.61,135311.0,323.77,6.97,374343.0,259999.0,2.37,634342,114344.0,306.5,0.13,311.0,332.17,5129.0,322.35,0.83975717586992,6.463704662371974,-5.623947486502054,27.556883342660207,27.742767841009233,27.185114345962162
48,2025-01-09 10:00:00,334.35,196745.0,341.76,125259.0,330.74,206707.0,350.87,133799.0,338.05,7.4,403452.0,259058.0,2.2,662510,144394.0,67.0,0.16,312.0,359.4,5248.0,336.68,1.2809716902446553,5.42715806794651,-4.146186377701855,37.25166268645542,30.91239945615796,49.930189147050335
