Time,Bid1,Bid2,Ask1,Ask2,Mid-Price,Total_volume,Bid_ask_spread,Order_imbalance
07:30:46,"[182.0, 36]","[181.0, 12]","[189.0, 36]","[191.0, 12]",185.5,96,7.0,0.0
07:30:47,"[182.0, 42]","[181.0, 36]","[188.91, 43]","[189.88, 16]",185.45,137,6.91,0.14
07:30:48,"[181.89, 37]","[180.94, 35]","[187.06, 64]","[188.06, 51]",184.48,187,5.17,-0.23
07:30:49,"[175.0, 13]","[174.0, 39]","[185.43, 63]","[186.82, 56]",180.21,171,10.43,-0.39
07:30:50,"[175.73, 15]","[174.19, 26]","[183.42, 48]","[185.0, 93]",179.57,182,7.68,-0.55
07:30:51,"[176.14, 58]","[174.16, 49]","[181.44, 61]","[184.62, 34]",178.79,202,5.3,0.06
07:30:52,"[176.0, 47]","[174.7, 20]","[182.49, 76]","[184.25, 20]",179.24,163,6.49,-0.18
07:30:53,"[176.85, 13]","[175.19, 16]","[184.63, 46]","[491.88, 32]",180.74,107,7.78,-0.46
07:30:54,"[177.08, 12]","[174.0, 37]","[185.36, 50]","[227.29, 56]",181.22,155,8.28,-0.37
07:30:55,"[177.33, 12]","[173.94, 32]","[185.0, 60]","[228.92, 60]",181.17,164,7.67,-0.46
07:30:56,"[174.0, 8]","[173.0, 8]","[184.81, 36]","[187.62, 40]",179.4,92,10.81,-0.65
07:30:57,"[174.0, 7]","[173.0, 7]","[184.77, 31]","[188.23, 31]",179.39,76,10.77,-0.63
07:30:58,"[181.0, 28]","[173.11, 19]","[185.0, 70]","[334.35, 54]",183.0,171,4.0,-0.45
07:30:59,"[181.0, 20]","[173.0, 10]","[185.0, 50]","[300.84, 25]",183.0,105,4.0,-0.43
07:31:00,"[182.0, 65]","[181.0, 26]","[184.46, 65]","[265.66, 35]",183.23,191,2.46,-0.05
07:31:01,"[181.69, 29]","[174.57, 21]","[185.37, 38]","[204.0, 25]",183.53,113,3.68,-0.12
07:31:02,"[181.97, 67]","[180.67, 27]","[183.0, 45]","[188.0, 48]",182.49,187,1.03,0.01
07:31:03,"[181.26, 38]","[177.87, 39]","[182.6, 15]","[185.11, 27]",181.93,119,1.34,0.29
07:31:04,"[181.0, 36]","[176.93, 41]","[183.56, 9]","[186.67, 27]",182.28,113,2.56,0.36
07:31:05,"[181.0, 17]","[174.0, 11]","[187.0, 33]","[189.0, 33]",184.0,94,6.0,-0.4
07:31:06,"[181.0, 4]","[174.0, 4]","[187.0, 12]","[189.0, 12]",184.0,32,6.0,-0.5
07:31:07,"[181.0, 8]","[174.0, 8]","[187.0, 24]","[189.0, 24]",184.0,64,6.0,-0.5
07:31:08,"[182.0, 127]","[181.0, 14]","[187.0, 42]","[189.0, 42]",184.5,225,5.0,0.25
07:31:09,"[183.43, 37]","[182.68, 81]","[187.0, 36]","[189.0, 36]",185.22,190,3.57,0.24
07:31:10,"[184.32, 25]","[182.83, 93]","[187.0, 39]","[189.0, 39]",185.66,196,2.68,0.2
07:31:11,"[183.0, 49]","[182.0, 56]","[186.36, 25]","[188.29, 21]",184.68,151,3.36,0.39
07:31:12,"[183.0, 98]","[182.0, 112]","[186.0, 56]","[188.0, 42]",184.5,308,3.0,0.36
07:31:13,"[183.0, 49]","[182.0, 56]","[185.0, 28]","[188.0, 21]",184.0,154,2.0,0.36
07:31:14,"[183.0, 41]","[182.0, 56]","[184.92, 26]","[188.24, 17]",183.96,140,1.92,0.39
07:31:15,"[183.0, 11]","[182.0, 88]","[188.0, 33]","[190.0, 11]",185.5,143,5.0,0.38
07:31:16,"[183.0, 12]","[182.0, 96]","[188.0, 36]","[190.0, 12]",185.5,156,5.0,0.38
07:31:17,"[183.0, 9]","[182.0, 72]","[188.42, 19]","[190.71, 17]",185.71,117,5.42,0.38
07:31:18,"[182.2, 45]","[181.75, 96]","[190.0, 15]","[191.0, 45]",186.1,201,7.8,0.4
07:31:19,"[182.0, 48]","[181.0, 32]","[190.0, 8]","[191.0, 24]",186.0,112,8.0,0.43
07:31:20,"[182.0, 45]","[181.0, 56]","[183.43, 47]","[185.12, 41]",182.71,189,1.43,0.07
07:31:21,"[182.0, 36]","[181.0, 48]","[184.94, 31]","[187.25, 48]",183.47,163,2.94,0.03
07:31:22,"[181.7, 27]","[180.45, 58]","[183.88, 34]","[186.0, 68]",182.79,187,2.18,-0.09
07:31:23,"[180.73, 15]","[179.96, 46]","[182.08, 24]","[186.0, 48]",181.41,133,1.35,-0.08
07:31:24,"[179.88, 48]","[176.43, 42]","[181.93, 30]","[188.33, 90]",180.9,210,2.06,-0.14
07:31:25,"[179.0, 34]","[173.0, 132]","[180.35, 34]","[186.76, 51]",179.68,251,1.35,0.32
07:31:26,"[179.27, 22]","[173.33, 79]","[184.35, 31]","[187.57, 42]",181.81,174,5.08,0.16
07:31:27,"[181.0, 20]","[180.0, 20]","[185.0, 20]","[188.0, 40]",183.0,100,4.0,-0.2
07:31:28,"[181.0, 14]","[180.0, 14]","[185.0, 14]","[188.0, 28]",183.0,70,4.0,-0.2
07:31:29,"[181.65, 17]","[180.79, 28]","[184.18, 55]","[187.39, 67]",182.91,167,2.53,-0.46
07:31:30,"[182.0, 13]","[181.0, 26]","[184.0, 65]","[187.0, 117]",183.0,221,2.0,-0.65
07:31:31,"[182.0, 9]","[181.0, 18]","[183.0, 44]","[187.0, 81]",182.5,152,1.0,-0.64
07:31:32,"[181.14, 21]","[180.25, 24]","[185.62, 42]","[187.14, 56]",183.38,143,4.48,-0.37
07:31:33,"[181.0, 28]","[180.0, 28]","[185.03, 72]","[186.86, 58]",183.01,186,4.03,-0.4
07:31:34,"[175.95, 38]","[176.0, 14]","[184.06, 50]","[185.49, 53]",180.0,155,8.11,-0.33
07:31:35,"[175.0, 40]","[173.0, 10]","[181.9, 30]","[184.0, 60]",178.45,140,6.9,-0.29
07:31:36,"[175.0, 60]","[173.0, 15]","[179.69, 36]","[182.33, 67]",177.35,178,4.69,-0.16
07:31:37,"[175.02, 61]","[173.42, 19]","[177.1, 40]","[178.68, 38]",176.06,158,2.08,0.01
07:31:38,"[174.96, 46]","[173.0, 15]","[176.8, 30]","[178.95, 95]",175.88,186,1.84,-0.34
07:31:39,"[174.0, 112]","[172.79, 14]","[175.67, 42]","[176.77, 26]",174.83,194,1.67,0.3
07:31:40,"[174.0, 54]","[171.33, 9]","[175.92, 13]","[179.87, 15]",174.96,91,1.92,0.38
07:31:41,"[174.0, 96]","[168.88, 16]","[179.0, 48]","[181.24, 72]",176.5,232,5.0,-0.03
07:31:42,"[175.38, 16]","[172.67, 12]","[179.0, 24]","[181.0, 40]",177.19,92,3.62,-0.39
07:31:43,"[175.59, 34]","[174.0, 30]","[179.5, 24]","[181.38, 48]",177.54,136,3.91,-0.06
07:31:44,"[175.0, 54]","[169.13, 15]","[181.0, 18]","[182.0, 54]",178.0,141,6.0,-0.02
07:31:45,"[175.0, 48]","[170.88, 8]","[181.5, 16]","[260.24, 38]",178.25,110,6.5,0.02
07:31:46,"[175.0, 72]","[172.0, 12]","[182.0, 24]","[501.54, 48]",178.5,156,7.0,0.08
07:31:47,"[175.0, 36]","[172.0, 6]","[182.0, 12]","[288.71, 7]",178.5,61,7.0,0.38
07:31:48,"[175.93, 90]","[174.8, 45]","[182.0, 20]","[244.6, 10]",178.97,165,6.07,0.64
07:31:49,"[176.0, 70]","[172.0, 5]","[181.0, 20]","[182.0, 10]",178.5,105,5.0,0.43
07:31:50,"[177.95, 80]","[175.48, 69]","[180.0, 40]","[202.6, 20]",178.97,209,2.05,0.43
07:31:51,"[179.5, 48]","[175.13, 69]","[181.0, 12]","[182.67, 24]",180.25,153,1.5,0.53
07:31:52,"[180.0, 47]","[176.94, 62]","[184.91, 23]","[245.84, 19]",182.46,151,4.91,0.44
07:31:53,"[180.7, 30]","[175.8, 50]","[186.0, 20]","[311.4, 10]",183.35,110,5.3,0.45
07:31:54,"[181.87, 46]","[179.91, 46]","[185.12, 32]","[221.24, 25]",183.5,149,3.26,0.23
07:31:55,"[180.0, 36]","[176.0, 12]","[185.2, 15]","[201.29, 21]",182.6,84,5.2,0.14
07:31:56,"[180.0, 33]","[176.0, 11]","[183.18, 11]","[185.91, 22]",181.59,77,3.18,0.14
07:31:57,"[180.0, 42]","[176.0, 14]","[183.0, 14]","[185.0, 28]",181.5,98,3.0,0.14
07:31:58,"[178.25, 16]","[172.39, 31]","[183.0, 28]","[185.0, 20]",180.62,95,4.75,-0.01
07:31:59,"[180.93, 74]","[175.27, 15]","[182.6, 20]","[185.27, 44]",181.77,153,1.67,0.16
07:32:00,"[181.54, 41]","[180.75, 64]","[185.13, 61]","[216.33, 42]",183.33,208,3.59,0.01
07:32:01,"[181.7, 37]","[180.75, 85]","[185.77, 79]","[232.85, 41]",183.74,242,4.07,0.01
07:32:02,"[181.0, 43]","[174.0, 13]","[187.0, 7]","[188.0, 35]",184.0,98,6.0,0.14
07:32:03,"[182.82, 22]","[179.89, 95]","[187.96, 57]","[223.1, 21]",185.39,195,5.15,0.2
07:32:04,"[181.3, 117]","[180.19, 81]","[187.61, 49]","[206.45, 67]",184.46,314,6.31,0.26
07:32:05,"[181.0, 130]","[175.0, 13]","[187.48, 25]","[211.24, 55]",184.24,223,6.48,0.28
07:32:06,"[182.06, 62]","[180.79, 114]","[185.2, 15]","[188.0, 75]",183.63,266,3.14,0.32
07:32:07,"[181.39, 46]","[179.25, 80]","[187.7, 50]","[235.4, 10]",184.55,186,6.31,0.35
07:32:08,"[181.0, 100]","[174.0, 38]","[184.18, 34]","[191.19, 42]",182.59,214,3.18,0.29
07:32:09,"[181.0, 29]","[174.0, 8]","[183.0, 24]","[187.25, 40]",182.0,101,2.0,-0.27
07:32:10,"[181.25, 20]","[179.25, 20]","[186.98, 44]","[347.57, 28]",184.11,112,5.73,-0.29
07:32:11,"[185.13, 15]","[182.62, 32]","[188.0, 64]","[555.0, 26]",186.57,137,2.87,-0.31
07:32:12,"[186.0, 26]","[181.0, 39]","[235.87, 46]","[463.44, 16]",210.93,127,49.87,0.02
07:32:13,"[186.0, 14]","[181.0, 21]","[188.0, 28]","[257.0, 21]",187.0,84,2.0,-0.17
07:32:14,"[186.0, 8]","[181.0, 12]","[188.0, 16]","[257.0, 12]",187.0,48,2.0,-0.17
07:32:15,"[186.0, 12]","[182.67, 18]","[188.0, 24]","[257.0, 18]",187.0,72,2.0,-0.17
07:32:16,"[186.0, 14]","[183.0, 21]","[188.0, 28]","[301.8, 15]",187.0,78,2.0,-0.1
07:32:17,"[183.48, 25]","[181.64, 33]","[188.0, 44]","[352.1, 29]",185.74,131,4.52,-0.11
07:32:18,"[183.0, 12]","[182.0, 18]","[188.0, 24]","[530.17, 18]",185.5,72,5.0,-0.17
07:32:19,"[183.0, 18]","[182.0, 27]","[188.0, 36]","[476.89, 27]",185.5,108,5.0,-0.17
07:32:20,"[183.0, 23]","[182.0, 39]","[185.0, 13]","[188.53, 43]",184.0,118,2.0,0.05
07:32:21,"[182.09, 23]","[181.17, 36]","[185.72, 36]","[225.44, 36]",183.9,131,3.64,-0.1
07:32:22,"[182.0, 16]","[181.0, 24]","[183.0, 24]","[189.62, 32]",182.5,96,1.0,-0.17
07:32:23,"[182.0, 8]","[181.0, 12]","[183.0, 12]","[190.0, 16]",182.5,48,1.0,-0.17
07:32:24,"[181.0, 26]","[179.56, 32]","[183.0, 27]","[190.0, 36]",182.0,121,2.0,-0.04
07:32:25,"[180.0, 36]","[176.0, 24]","[183.0, 18]","[190.0, 24]",181.5,102,3.0,0.18
07:32:26,"[180.0, 24]","[176.0, 16]","[183.0, 12]","[190.0, 16]",181.5,68,3.0,0.18
07:32:27,"[180.0, 50]","[176.0, 40]","[183.0, 30]","[193.0, 40]",181.5,160,3.0,0.12
07:32:28,"[181.0, 10]","[180.0, 10]","[183.0, 38]","[191.5, 40]",182.0,98,2.0,-0.59
07:32:29,"[181.0, 8]","[177.0, 20]","[183.0, 35]","[190.0, 32]",182.0,95,2.0,-0.41
07:32:30,"[180.81, 27]","[176.88, 32]","[182.88, 48]","[187.0, 42]",181.84,149,2.06,-0.21
07:32:31,"[177.54, 13]","[174.3, 54]","[182.26, 35]","[185.71, 28]",179.9,130,4.72,0.03
07:32:32,"[175.38, 13]","[173.36, 53]","[182.0, 40]","[185.0, 30]",178.69,136,6.62,-0.03
07:32:33,"[176.5, 4]","[174.08, 13]","[182.0, 16]","[185.0, 12]",179.25,45,5.5,-0.24
07:32:34,"[175.0, 13]","[173.15, 52]","[181.31, 52]","[182.75, 48]",178.15,165,6.31,-0.21
07:32:35,"[175.0, 10]","[173.0, 40]","[181.18, 34]","[182.24, 37]",178.09,121,6.18,-0.17
07:32:36,"[175.5, 10]","[172.8, 40]","[182.05, 19]","[184.83, 35]",178.78,104,6.55,-0.04
07:32:37,"[176.33, 18]","[173.78, 36]","[183.0, 12]","[191.0, 96]",179.67,162,6.67,-0.33
07:32:38,"[175.65, 26]","[174.03, 64]","[182.73, 15]","[190.91, 89]",179.19,194,7.08,-0.07
07:32:39,"[177.0, 10]","[174.1, 40]","[182.0, 40]","[183.0, 10]",179.5,100,5.0,0.0
07:32:40,"[177.95, 21]","[173.23, 83]","[182.31, 61]","[186.19, 36]",180.13,201,4.36,0.03
07:32:41,"[175.72, 18]","[173.38, 52]","[179.0, 56]","[180.53, 40]",177.36,166,3.28,-0.16
07:32:42,"[172.29, 28]","[171.27, 117]","[175.68, 41]","[177.36, 50]",173.98,236,3.4,0.23
07:32:43,"[172.0, 32]","[171.0, 136]","[175.0, 24]","[177.0, 32]",173.5,224,3.0,0.5
07:32:44,"[173.7, 20]","[170.26, 121]","[175.0, 27]","[177.0, 36]",174.35,204,1.3,0.38
07:32:45,"[174.0, 36]","[170.0, 189]","[175.0, 27]","[177.0, 36]",174.5,288,1.0,0.56
07:32:46,"[174.0, 36]","[170.0, 157]","[175.0, 27]","[177.0, 36]",174.5,256,1.0,0.51
07:32:47,"[174.0, 26]","[170.0, 170]","[175.75, 40]","[176.76, 42]",174.88,278,1.75,0.41
07:32:48,"[170.5, 32]","[169.97, 58]","[176.0, 15]","[177.0, 12]",173.25,117,5.5,0.54
07:32:49,"[170.32, 157]","[169.95, 158]","[176.0, 65]","[177.0, 52]",173.16,432,5.68,0.46
07:32:50,"[173.17, 60]","[170.0, 111]","[176.0, 60]","[177.8, 60]",174.58,291,2.83,0.18
07:32:51,"[174.0, 55]","[169.0, 56]","[176.0, 55]","[178.66, 58]",175.0,224,2.0,-0.01
07:32:52,"[175.04, 52]","[172.21, 38]","[176.6, 40]","[178.2, 40]",175.82,170,1.56,0.06
07:32:53,"[176.91, 23]","[175.6, 15]","[178.0, 16]","[179.0, 64]",177.46,118,1.09,-0.36
07:32:54,"[172.29, 63]","[167.74, 31]","[179.0, 128]","[181.0, 112]",175.64,334,6.71,-0.44
07:32:55,"[170.38, 94]","[168.49, 37]","[179.0, 96]","[181.0, 84]",174.69,311,8.62,-0.16
07:32:56,"[172.91, 99]","[167.91, 22]","[179.0, 88]","[181.0, 45]",175.95,254,6.09,-0.05
07:32:57,"[174.94, 153]","[168.59, 34]","[179.9, 51]","[181.25, 56]",177.42,294,4.96,0.27
07:32:58,"[174.94, 82]","[169.82, 22]","[177.76, 49]","[179.41, 37]",176.35,190,2.82,0.09
07:32:59,"[169.04, 149]","[168.08, 52]","[181.0, 28]","[182.0, 56]",175.02,285,11.96,0.41
07:33:00,"[169.81, 93]","[168.66, 71]","[181.4, 15]","[189.48, 42]",175.6,221,11.59,0.48
07:33:01,"[174.39, 44]","[169.63, 138]","[182.0, 54]","[519.93, 70]",178.19,306,7.61,0.19
07:33:02,"[176.67, 43]","[174.14, 35]","[182.0, 42]","[185.0, 42]",179.34,162,5.33,-0.04
07:33:03,"[181.0, 112]","[174.45, 22]","[182.0, 36]","[185.0, 39]",181.5,209,1.0,0.28
07:33:04,"[181.0, 56]","[174.0, 32]","[182.0, 16]","[185.0, 24]",181.5,128,1.0,0.38
07:33:05,"[181.0, 49]","[174.0, 28]","[183.12, 16]","[252.14, 21]",182.06,114,2.12,0.35
07:33:06,"[181.25, 81]","[174.96, 51]","[337.8, 40]","[438.41, 44]",259.52,216,156.55,0.22
07:33:07,"[186.0, 24]","[181.0, 42]","[398.0, 14]","[420.8, 10]",292.0,90,212.0,0.47
07:33:08,"[186.0, 36]","[181.0, 63]","[364.33, 12]","[417.96, 25]",275.17,136,178.33,0.46
07:33:09,"[186.0, 12]","[181.0, 21]","[369.0, 3]","[425.82, 11]",277.5,47,183.0,0.4
07:33:10,"[187.45, 22]","[185.19, 43]","[257.0, 30]","[353.0, 25]",222.23,120,69.55,0.08
07:33:11,"[188.2, 15]","[186.0, 32]","[259.78, 18]","[288.08, 26]",223.99,91,71.58,0.03
07:33:12,"[189.0, 8]","[186.0, 32]","[226.0, 22]","[260.43, 21]",207.5,83,37.0,-0.04
07:33:13,"[189.0, 8]","[186.0, 44]","[220.33, 18]","[227.73, 22]",204.67,92,31.33,0.13
07:33:14,"[186.0, 130]","[183.0, 130]","[219.9, 20]","[251.17, 35]",202.95,315,33.9,0.65
07:33:15,"[186.0, 143]","[183.0, 143]","[217.6, 30]","[240.37, 38]",201.8,354,31.6,0.62
07:33:16,"[186.0, 117]","[183.0, 117]","[214.05, 42]","[215.24, 21]",200.02,297,28.05,0.58
07:33:17,"[186.0, 182]","[183.0, 191]","[212.06, 33]","[213.16, 55]",199.03,461,26.06,0.62
07:33:18,"[186.04, 204]","[183.47, 249]","[195.62, 66]","[196.22, 68]",190.83,587,9.58,0.54
07:33:19,"[186.45, 47]","[185.29, 119]","[188.55, 22]","[189.38, 32]",187.5,220,2.1,0.51
07:33:20,"[186.21, 141]","[183.09, 159]","[188.59, 54]","[191.6, 50]",187.4,404,2.38,0.49
07:33:21,"[187.0, 88]","[186.0, 18]","[188.0, 72]","[216.33, 72]",187.5,250,1.0,-0.15
07:33:22,"[187.0, 30]","[186.0, 11]","[188.0, 44]","[205.52, 54]",187.5,139,1.0,-0.41
07:33:23,"[186.0, 11]","[183.0, 154]","[190.36, 28]","[202.67, 61]",188.18,254,4.36,0.3
07:33:24,"[184.44, 27]","[182.83, 199]","[188.33, 33]","[189.74, 43]",186.39,302,3.89,0.5
07:33:25,"[183.0, 182]","[181.0, 221]","[186.31, 26]","[189.7, 44]",184.65,473,3.31,0.7
07:33:26,"[183.0, 160]","[181.0, 141]","[184.15, 26]","[185.85, 26]",183.58,353,1.15,0.71
07:33:27,"[183.0, 122]","[181.0, 77]","[186.9, 31]","[220.73, 37]",184.95,267,3.9,0.49
07:33:28,"[183.0, 130]","[181.0, 139]","[190.0, 65]","[326.49, 43]",186.5,377,7.0,0.43
07:33:29,"[183.0, 140]","[181.0, 154]","[190.0, 70]","[242.7, 50]",186.5,414,7.0,0.42
07:33:30,"[183.0, 91]","[181.0, 121]","[189.85, 53]","[238.27, 55]",186.42,320,6.85,0.33
07:33:31,"[181.6, 47]","[180.88, 25]","[189.0, 20]","[190.4, 25]",185.3,117,7.4,0.23
07:33:32,"[181.24, 50]","[180.94, 70]","[188.9, 40]","[191.0, 50]",185.07,210,7.66,0.14
07:33:33,"[181.0, 121]","[180.0, 11]","[182.71, 34]","[188.17, 90]",181.85,256,1.71,0.03
07:33:34,"[181.0, 70]","[180.0, 10]","[182.0, 25]","[188.0, 50]",181.5,155,1.0,0.03
07:33:35,"[181.0, 56]","[180.0, 8]","[182.0, 16]","[188.0, 40]",181.5,120,1.0,0.07
07:33:36,"[180.81, 26]","[178.57, 21]","[183.58, 19]","[195.62, 40]",182.19,106,2.77,-0.11
07:33:37,"[143.0, 45]","[117.0, 55]","[187.94, 53]","[243.45, 55]",165.47,208,44.94,-0.04
07:33:38,"[133.86, 56]","[83.0, 60]","[199.15, 39]","[266.13, 54]",166.51,209,65.3,0.11
07:33:39,"[161.85, 65]","[93.91, 57]","[177.0, 13]","[261.77, 65]",169.42,200,15.15,0.22
07:33:40,"[170.49, 49]","[95.62, 40]","[176.25, 8]","[180.87, 31]",173.37,128,5.76,0.39
07:33:41,"[146.8, 87]","[85.88, 80]","[178.42, 45]","[275.3, 27]",162.61,239,31.62,0.4
07:33:42,"[131.41, 34]","[116.83, 29]","[180.0, 29]","[191.68, 25]",155.71,117,48.59,0.08
07:33:43,"[165.14, 29]","[126.6, 25]","[178.29, 28]","[179.38, 26]",171.71,108,13.15,0.0
07:33:44,"[166.0, 28]","[165.0, 35]","[176.0, 33]","[177.0, 30]",171.0,126,10.0,0.0
07:33:45,"[166.67, 36]","[165.71, 51]","[175.0, 78]","[213.33, 30]",170.83,195,8.33,-0.11
07:33:46,"[171.15, 26]","[168.91, 22]","[175.0, 32]","[223.43, 28]",173.08,108,3.85,-0.11
07:33:47,"[172.25, 32]","[170.0, 16]","[175.0, 32]","[394.5, 28]",173.62,108,2.75,-0.11
07:33:48,"[170.5, 24]","[155.17, 12]","[175.0, 18]","[340.67, 30]",172.75,84,4.5,-0.14
07:33:49,"[153.0, 10]","[98.0, 25]","[175.0, 6]","[177.0, 20]",164.0,61,22.0,0.15
07:33:50,"[153.75, 16]","[117.64, 28]","[175.0, 8]","[177.0, 32]",164.38,84,21.25,0.05
07:33:51,"[161.55, 29]","[159.44, 27]","[439.0, 36]","[464.1, 21]",300.28,113,277.45,-0.01
07:33:52,"[163.73, 11]","[162.0, 22]","[321.26, 53]","[337.52, 21]",242.5,107,157.54,-0.38
07:33:53,"[166.0, 14]","[163.5, 40]","[177.0, 70]","[178.38, 56]",171.5,180,11.0,-0.4
07:33:54,"[169.71, 14]","[167.4, 10]","[178.0, 40]","[179.0, 24]",173.86,88,8.29,-0.45
07:33:55,"[172.1, 20]","[171.31, 13]","[176.0, 45]","[176.91, 43]",174.05,121,3.9,-0.45
07:33:56,"[172.13, 30]","[143.2, 143]","[174.88, 64]","[177.25, 48]",173.5,285,2.74,0.21
07:33:57,"[155.87, 30]","[74.19, 93]","[175.14, 28]","[177.32, 19]",165.5,170,19.28,0.45
07:33:58,"[154.58, 24]","[102.75, 69]","[177.28, 25]","[179.0, 22]",165.93,140,22.7,0.33
07:33:59,"[155.0, 12]","[51.24, 90]","[177.0, 22]","[179.0, 12]",166.0,136,22.0,0.5
07:34:00,"[160.75, 142]","[67.46, 67]","[218.0, 20]","[243.78, 18]",189.37,247,57.25,0.69
07:34:01,"[161.25, 68]","[159.35, 125]","[302.4, 10]","[454.1, 10]",231.82,213,141.15,0.81
