timestamp,price,number
25412.095,286.0,4
25413.645,285.0,1
25415.753,295.0,5
25415.784,295.0,1
25416.094,295.0,3
25416.342,295.0,3
25420.496,293.5,5
25426.541,293.0,1
25427.161,293.0,2
25431.098,292.0,5
25431.377,288.0,5
25432.772,288.0,2
25433.516,288.0,4
25435.779,288.0,3
25437.856,289.0,4
25442.599,291.0,1
25442.909,288.0,1
25444.49,290.5,6
25445.358,294.0,1
25448.117,288.0,4
25449.574,288.0,5
25452.364,289.0,2
25455.309,292.5,3
25457.448,292.0,4
25458.812,292.0,3
25462.129,291.0,3
25462.315,291.0,5
25466.965,291.0,2
25468.081,288.0,3
25468.298,287.0,1
25468.825,294.0,1
25470.003,287.0,2
25472.204,287.0,1
25475.831,286.0,4
25475.862,287.0,3
25477.164,286.5,4
25477.257,285.0,4
25482.0,295.0,1
25482.31,295.0,4
25482.93,294.0,1
25483.519,294.0,1
25483.643,285.0,2
25486.929,285.0,2
25489.161,285.5,4
25490.06,285.0,2
25493.191,287.0,1
25495.547,289.0,1
25495.578,287.0,2
25499.918,289.0,2
25500.352,290.0,2
25502.739,294.0,5
25508.474,294.0,4
25509.156,293.0,3
25510.551,293.0,2
25510.768,293.0,2
25518.642,291.3,4
25520.843,289.0,2
25522.362,289.0,1
25528.345,289.0,1
25530.174,287.0,2
25531.073,295.0,3
25532.158,295.0,1
25533.46,295.0,1
25533.522,291.0,2
25537.955,288.0,1
25538.079,288.0,2
25540.249,285.0,4
25541.179,285.0,1
25541.21,285.0,1
25541.737,285.0,1
25543.38,295.0,3
25546.852,296.0,2
25548.836,296.0,2
25550.014,291.5,5
25551.905,289.0,1
25558.57,290.5,5
25560.771,294.0,9
25562.476,289.0,2
25564.677,289.0,1
25568.676,290.0,2
25570.009,287.0,4
25570.35,282.7,5
25572.799,289.0,2
25573.047,290.0,1
25578.193,292.0,1
25580.673,294.0,2
25581.231,291.0,2
25582.44,288.0,1
25582.905,288.0,1
25583.37,288.0,5
25584.579,288.0,1
25590.035,290.0,4
25591.306,289.0,3
25594.065,293.0,3
25595.925,293.0,1
25600.048,291.0,2
25600.265,289.0,5
25601.102,288.0,3
25601.629,287.0,2
25601.784,287.0,1
25609.534,295.0,2
25609.72,295.0,2
25609.937,286.8,4
25614.339,286.0,3
25615.207,286.0,3
25615.238,286.0,1
25615.827,286.0,1
25617.036,287.0,2
25619.361,288.0,1
25620.942,285.0,1
25623.081,288.0,4
25623.267,288.0,1
25629.963,286.0,4
25630.738,285.5,5
25631.11,287.0,3
25631.141,288.0,3
25632.226,285.5,3
25635.388,284.0,1
25635.574,283.5,5
25636.225,283.5,2
25637.186,278.0,2
25637.961,276.5,5
25643.634,280.0,1
25644.657,282.0,1
25647.106,283.0,2
25649.059,282.0,3
25650.113,286.4,9
25650.888,288.0,1
25652.004,288.0,2
25655.383,292.0,4
25655.631,292.0,1
25657.15,292.0,1
25661.242,292.0,5
25661.831,292.0,1
25666.171,294.0,1
25666.419,294.0,2
25666.76,291.0,2
25668.0,288.7,4
25668.713,287.5,4
25671.534,287.0,1
25674.758,291.5,2
25675.068,291.0,1
25675.502,289.0,2
25676.494,286.0,3
25676.587,286.0,3
25676.68,284.0,5
25678.292,284.0,1
25678.478,284.0,3
25682.322,294.0,1
25682.601,293.0,1
25684.709,293.0,1
25686.724,290.0,1
25687.437,288.0,2
25689.235,286.0,1
25689.855,286.0,1
25689.948,283.0,5
25691.56,286.0,2
25693.327,286.0,4
25697.76,286.0,1
25698.411,284.5,2
25700.023,284.0,1
25700.457,284.0,5
25700.55,284.0,1
25702.131,280.5,2
25705.975,287.0,3
25706.161,287.0,2
25706.409,286.0,1
25708.486,287.0,2
25711.865,291.0,1
25713.818,291.0,3
25720.607,292.0,2
25721.816,291.0,3
25723.304,289.0,2
25725.133,287.0,2
25725.66,283.5,3
25726.931,282.0,3
25728.977,282.0,3
25730.806,281.0,2
25735.115,286.0,4
25737.502,286.0,1
25737.936,285.0,1
25737.967,285.0,2
25739.145,285.0,3
25741.563,283.0,3
25742.183,285.0,2
25748.755,290.0,1
25749.685,288.0,3
25750.491,289.0,3
25753.591,290.0,3
25753.932,290.0,3
25754.707,285.7,4
25755.823,282.0,4
25758.675,282.0,2
25763.17,285.0,3
25763.666,284.0,1
25764.751,288.2,14
25767.262,292.0,3
25768.44,292.0,4
25770.486,292.0,1
25773.245,291.0,1
25773.834,290.0,1
25773.896,290.0,3
25773.958,290.0,4
25775.105,289.0,3
25778.422,288.0,2
25778.732,286.0,2
25783.413,286.0,2
25786.327,286.0,1
25787.257,287.0,2
25787.753,287.0,3
25792.0,292.0,3
25792.279,291.0,1
25793.643,289.0,2
25794.077,289.0,2
25795.379,286.0,2
25795.937,286.0,3
25796.092,287.0,2
25796.588,286.5,4
25807.996,293.0,2
25808.027,291.0,2
25810.817,292.0,4
25810.91,292.0,2
25810.972,291.5,4
25813.607,289.0,4
25817.42,288.0,3
25818.412,285.0,2
25820.272,285.0,3
25821.14,285.0,2
25824.86,286.0,2
25825.573,286.0,2
25825.759,286.0,4
25826.224,285.0,3
25829.696,283.0,2
25831.029,292.0,1
25833.819,288.0,1
25836.33,293.0,4
25839.895,293.0,1
25844.731,291.0,5
25844.762,291.0,1
25844.855,291.0,2
25845.878,291.0,3
25850.311,291.0,1
25850.776,289.0,4
25853.473,289.0,1
25855.085,289.0,1
25859.952,284.7,5
25862.432,287.0,1
25862.68,287.0,1
25866.4,281.0,5
25867.299,284.5,4
25868.694,283.0,1
25873.344,280.0,1
25874.305,273.0,2
25874.894,281.0,5
25877.374,286.0,3
25877.467,285.0,2
25880.164,280.0,1
25880.629,276.5,3
25883.078,273.0,2
25884.194,274.0,5
25887.976,280.0,1
25890.115,278.0,1
25892.161,280.0,1
25893.835,279.0,1
25894.114,280.0,1
25894.61,281.0,2
25895.881,273.0,4
25897.369,281.0,1
25901.988,281.0,2
25902.887,281.0,2
25903.631,282.0,3
25905.646,273.0,2
25905.739,273.0,2
25909.552,279.8,9
25914.326,281.0,2
25914.512,281.0,1
