,Future Buy Increase,Future Sell Decrease,Quantiles,Shares,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
67,1.03,0.98,0.7,300,4614.574854258812,52492,99,17,0.5808973534241191,0.39003853496963914,0.6618526752883822,0.004293076839453019
68,1.03,0.98,0.7,500,4614.574854258812,52492,99,17,0.5808973534241191,0.39003853496963914,0.6618526752883822,0.004293076839453019
69,1.03,0.98,0.8,100,3181.461263253801,52492,108,24,0.5860579416092331,0.3912293133465831,0.6629125685652353,0.0032027024037763452
70,1.03,0.98,0.8,300,3181.461263253801,52492,108,24,0.5860579416092331,0.3912293133465831,0.6629125685652353,0.0032027024037763452
71,1.03,0.98,0.8,500,3181.461263253801,52492,108,24,0.5860579416092331,0.3912293133465831,0.6629125685652353,0.0032027024037763452
72,1.03,0.97,0.6,100,-5437.135487823572,52492,521,2,0.5870977948478121,0.384060528377165,0.706078307178262,-0.007421077826643252
73,1.03,0.97,0.6,300,-5437.135487823572,52492,521,2,0.5870977948478121,0.384060528377165,0.706078307178262,-0.007421077826643252
74,1.03,0.97,0.6,500,-5437.135487823572,52492,521,2,0.5870977948478121,0.384060528377165,0.706078307178262,-0.007421077826643252
75,1.03,0.97,0.7,100,-5040.937223650455,52492,689,2,0.5811696233091487,0.3785376538879804,0.6919631318539189,-0.0067471024600509
76,1.03,0.97,0.7,300,-5040.937223650455,52492,689,2,0.5811696233091487,0.3785376538879804,0.6919631318539189,-0.0067471024600509
77,1.03,0.97,0.7,500,-5040.937223650455,52492,689,2,0.5811696233091487,0.3785376538879804,0.6919631318539189,-0.0067471024600509
78,1.03,0.97,0.8,100,-4335.929264423019,52492,327,3,0.5943018522059351,0.38646474677482484,0.6948496716904372,-0.005388038007503005
79,1.03,0.97,0.8,300,-4335.929264423019,52492,327,3,0.5943018522059351,0.38646474677482484,0.6948496716904372,-0.005388038007503005
80,1.03,0.97,0.8,500,-4335.929264423019,52492,327,3,0.5943018522059351,0.38646474677482484,0.6948496716904372,-0.005388038007503005
