,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
122,1.03,0.95,42.82,0.1,0.05,0.03,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
123,1.03,0.95,42.82,0.1,0.06,0.01,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
124,1.03,0.95,42.82,0.1,0.06,0.02,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
125,1.03,0.95,42.82,0.1,0.06,0.03,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
126,1.03,0.95,42.82,0.12,0.04,0.01,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
127,1.03,0.95,42.82,0.12,0.04,0.02,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
128,1.03,0.95,42.82,0.12,0.04,0.03,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
129,1.03,0.95,42.82,0.12,0.05,0.01,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
130,1.03,0.95,42.82,0.12,0.05,0.02,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
131,1.03,0.95,42.82,0.12,0.05,0.03,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
132,1.03,0.95,42.82,0.12,0.06,0.01,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
133,1.03,0.95,42.82,0.12,0.06,0.02,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
134,1.03,0.95,42.82,0.12,0.06,0.03,51674.48913010843,63727,0.7068555447754312,0.4549458445995207,-0.999984616517136,0.006938598584068297
135,1.03,0.95,45.66,0.08,0.04,0.01,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
136,1.03,0.95,45.66,0.08,0.04,0.02,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
137,1.03,0.95,45.66,0.08,0.04,0.03,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
138,1.03,0.95,45.66,0.08,0.05,0.01,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
139,1.03,0.95,45.66,0.08,0.05,0.02,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
140,1.03,0.95,45.66,0.08,0.05,0.03,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
141,1.03,0.95,45.66,0.08,0.06,0.01,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
142,1.03,0.95,45.66,0.08,0.06,0.02,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
143,1.03,0.95,45.66,0.08,0.06,0.03,46541.46148050083,63727,0.7068638734013214,0.45520686596752163,-0.999984616517136,0.006510394213017796
144,1.03,0.95,45.66,0.1,0.04,0.01,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
145,1.03,0.95,45.66,0.1,0.04,0.02,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
146,1.03,0.95,45.66,0.1,0.04,0.03,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
147,1.03,0.95,45.66,0.1,0.05,0.01,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
148,1.03,0.95,45.66,0.1,0.05,0.02,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
149,1.03,0.95,45.66,0.1,0.05,0.03,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
150,1.03,0.95,45.66,0.1,0.06,0.01,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
151,1.03,0.95,45.66,0.1,0.06,0.02,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
152,1.03,0.95,45.66,0.1,0.06,0.03,51600.12720045479,63727,0.7055854201706724,0.45468975880257106,-0.999984616517136,0.006932947057330882
153,1.03,0.95,45.66,0.12,0.04,0.01,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
