,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
502,1.07,0.97,39.882,0.1,0.06,0.02,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
503,1.07,0.97,39.882,0.1,0.06,0.03,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
504,1.07,0.97,39.882,0.12,0.04,0.01,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
505,1.07,0.97,39.882,0.12,0.04,0.02,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
506,1.07,0.97,39.882,0.12,0.04,0.03,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
507,1.07,0.97,39.882,0.12,0.05,0.01,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
508,1.07,0.97,39.882,0.12,0.05,0.02,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
509,1.07,0.97,39.882,0.12,0.05,0.03,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
510,1.07,0.97,39.882,0.12,0.06,0.01,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
511,1.07,0.97,39.882,0.12,0.06,0.02,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
512,1.07,0.97,39.882,0.12,0.06,0.03,51557.3612,63727,0.642743789,0.44504763,-1.125262225,0.006157809
306,1.05,0.97,45.66,0.1,0.04,0.01,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
307,1.05,0.97,45.66,0.1,0.04,0.02,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
308,1.05,0.97,45.66,0.1,0.04,0.03,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
309,1.05,0.97,45.66,0.1,0.05,0.01,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
310,1.05,0.97,45.66,0.1,0.05,0.02,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
311,1.05,0.97,45.66,0.1,0.05,0.03,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
312,1.05,0.97,45.66,0.1,0.06,0.01,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
313,1.05,0.97,45.66,0.1,0.06,0.02,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
314,1.05,0.97,45.66,0.1,0.06,0.03,51555.53895,63727,0.656654518,0.448231053,-0.926928402,0.007475218
549,1.07,0.97,45.66,0.1,0.04,0.01,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
550,1.07,0.97,45.66,0.1,0.04,0.02,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
551,1.07,0.97,45.66,0.1,0.04,0.03,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
552,1.07,0.97,45.66,0.1,0.05,0.01,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
553,1.07,0.97,45.66,0.1,0.05,0.02,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
554,1.07,0.97,45.66,0.1,0.05,0.03,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
555,1.07,0.97,45.66,0.1,0.06,0.01,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
556,1.07,0.97,45.66,0.1,0.06,0.02,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
557,1.07,0.97,45.66,0.1,0.06,0.03,51504.23283,63727,0.632018161,0.443027226,-1.125262225,0.006154409
288,1.05,0.97,42.82,0.12,0.04,0.01,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
289,1.05,0.97,42.82,0.12,0.04,0.02,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
290,1.05,0.97,42.82,0.12,0.04,0.03,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
