,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6347,138.84742265408175,137.32,57.942252634145504,54.74,137.32,Hold,Hold
6348,139.15523286563493,138.26,60.063787167070814,55.78,138.26,Hold,Hold
6349,139.58314554185358,129.87,57.13297787236051,41.2,129.87,Buy,Hold
6350,137.85897681220692,124.92,56.07701421172773,30.2,124.92,Hold,Hold
6351,138.06079933686706,130.99,48.06538726283513,40.94,130.99,Hold,Hold
6352,133.64905921052983,124.28,37.92805864196627,30.49,124.28,Hold,Hold
6353,135.23978276335887,138.89,53.51399105485033,62.29,138.89,Hold,Hold
6354,139.242623340392,147.9,54.76279420418896,75.3,147.9,Sell,Hold
6355,136.12976765491527,134.36,52.69668470867894,46.09,134.36,Buy,Hold
6356,136.20366299844386,128.6,51.8525552462559,39.29,128.6,Hold,Hold
6357,135.13895977607683,135.56,49.205323404938234,48.4,135.56,Hold,Hold
6358,136.89503444164816,146.04,53.875265307673565,71.02,146.04,Sell,Hold
6359,135.51902617320928,134.89,51.11990500672054,48.4,134.89,Hold,Hold
6360,136.1519497146642,141.86,52.189342156636386,63.85,141.86,Hold,Hold
6361,136.23615613336565,142.77,52.12450134376267,63.87,142.77,Hold,Hold
6362,135.88600686379178,121.6,51.45950047169369,23.32,121.6,Buy,Hold
6363,135.95404037725044,128.34,51.53293744921152,36.89,128.34,Hold,Hold
6364,135.31516561183355,136.2,50.32929676439712,53.43,136.2,Hold,Hold
6365,135.71489265234518,136.08,51.506343039660734,58.78,136.08,Hold,Hold
6366,138.52637976310723,152.77,55.82260895728949,89.89,152.77,Sell,Hold
6367,133.66059925540634,131.53,48.88223953430692,42.53,131.53,Buy,Hold
6368,139.02124486143066,152.33,60.87037008363795,85.73,152.33,Sell,Hold
6369,136.3462179708388,130.64,55.59306122767166,43.41,130.64,Buy,Hold
6370,136.5620045223265,135.6,53.52158457001468,52.0,135.6,Hold,Hold
6371,136.8284039261018,138.21,52.80383338273007,54.81,138.21,Hold,Hold
6372,139.9280501516173,143.77,55.61886018167104,67.52,143.77,Sell,Hold
6373,137.98257813826325,130.73,56.28737490696462,41.06,130.73,Buy,Hold
6374,136.2304908523147,125.92,53.20074728180465,31.68,125.92,Hold,Hold
6375,136.59281618114218,140.7,53.70102401497231,62.29,140.7,Hold,Hold
6376,137.08265094931136,132.54,54.64590873131927,46.75,132.54,Hold,Hold
6377,136.91845371790464,140.25,54.566967247254375,61.28,140.25,Hold,Hold
6378,136.93773399564475,147.12,54.894312386769386,74.28,147.12,Sell,Hold
6379,137.11051211157275,133.18,55.19493441880276,45.18,133.18,Buy,Hold
6380,136.51035144767246,136.4,54.246615520343354,54.28,136.4,Hold,Hold
6381,136.594126531546,138.73,54.223843706246065,58.37,138.73,Hold,Hold
6382,137.18603091366418,144.88,56.240596036834674,72.32,144.88,Sell,Hold
6383,138.39539452161245,137.1,57.77295707993004,52.71,137.1,Buy,Hold
6384,138.352254942058,137.35,57.54064467357553,53.56,137.35,Hold,Hold
6385,138.2564682700427,136.28,56.983761812066845,51.4,136.28,Hold,Hold
6386,137.75918623560543,144.16,55.052639397101835,67.87,144.16,Sell,Hold
6387,137.83162011645345,142.11,57.17242150282651,67.16,142.11,Hold,Hold
6388,139.9582085163857,136.78,57.039120494458516,52.62,136.78,Buy,Hold
6389,140.62095193781371,143.85,57.399691326876095,66.74,143.85,Sell,Hold
6390,140.18386194946166,135.25,56.54817921314509,50.67,135.25,Hold,Hold
6391,140.05212165878802,140.59,57.028270076387095,59.28,140.59,Hold,Hold
6392,140.55467032706616,144.99,60.662173934767,70.92,144.99,Hold,Hold
