,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,ARIMA Trading Signal,True Trading Signals,Correct Prediction
7958,130.7019097359665,131.35,41.52073012144917,46.46,Sell,Buy,False
7959,135.39717272066162,138.73,56.2916934422729,60.88,Buy,Sell,False
7960,135.34283656365687,132.89,54.001505308197764,46.89,Buy,Hold,False
7961,133.1595557468757,123.1,48.04983067561294,32.08,Sell,Buy,False
7962,134.80151068127037,137.22,49.159108375358564,56.79,Buy,Hold,False
7963,139.13830625352304,136.87,53.38568563617017,59.73,Buy,Hold,False
7964,132.2651463723177,125.44,48.720754155673106,37.22,Hold,Hold,True
7965,133.52655614037184,140.91,52.98915165538229,66.83,Sell,Hold,False
7966,144.91197611724863,148.48,62.5819798268595,83.28,Hold,Hold,True
7967,136.42195248087287,130.05,55.6068631616488,46.15,Hold,Hold,True
7968,147.22852063886575,150.04,73.58110103359662,85.86,Hold,Sell,False
7969,135.02074176234453,133.37,60.20844489178561,51.1,Hold,Buy,False
7970,140.6171131902858,157.17,71.69131336143889,105.91,Buy,Sell,False
7971,143.41398228591305,132.37,77.49470099108687,52.52,Hold,Hold,True
7972,136.3335823736893,123.67,57.52545670244981,38.15,Buy,Buy,True
7973,120.9122097149503,135.36,30.835151387359485,53.76,Hold,Hold,True
7974,119.47599108758672,128.48,21.645543972590623,41.93,Sell,Hold,False
7975,124.61072591318221,131.66,28.541328878308644,47.76,Hold,Hold,True
7976,128.87355885647287,125.47,37.96534041105487,35.45,Buy,Hold,False
7977,132.97580164285372,137.82,46.86302170024802,58.63,Buy,Sell,False
7978,140.84162436762827,137.82,58.062630180100996,58.66,Hold,Hold,True
7979,136.08022585503386,128.7,56.233355186855704,45.65,Buy,Buy,True
7980,139.7788518301565,146.91,66.61676746489658,79.58,Hold,Sell,False
7981,135.03148569438213,126.28,55.93223879908652,38.11,Buy,Buy,True
7982,133.55322297968252,124.15,50.627609088342055,31.88,Buy,Hold,False
7983,131.70900837894845,131.32,50.88772954424967,45.99,Hold,Hold,True
7984,132.9424532026579,139.74,50.70161929296318,64.6,Hold,Hold,True
7985,135.40557576813328,140.77,55.20228639989276,70.33,Buy,Sell,False
7986,134.82676982732963,135.22,55.28162324525424,55.54,Sell,Hold,False
7987,135.2428336482342,140.88,56.59422180176953,69.23,Buy,Hold,False
7988,134.06468161539107,134.69,54.97582594381153,58.24,Buy,Hold,False
7989,134.0513966633559,130.06,54.64908832441937,44.91,Sell,Buy,False
7990,134.80098319869302,135.9,52.97713071992187,58.86,Buy,Hold,False
7991,133.29542841786923,127.8,50.9247322503321,39.05,Hold,Hold,True
7992,133.95965662180615,134.75,53.340502682783224,53.31,Buy,Hold,False
7993,133.7706044898357,145.24,53.36492956346316,72.82,Sell,Sell,True
7994,135.54658721987832,145.72,57.4256084499831,76.63,Hold,Hold,True
7995,136.32342986530813,132.41,54.65448904596915,50.01,Hold,Buy,False
7996,137.08968713574308,135.54,56.71962072745767,57.68,Buy,Hold,False
7997,137.82885275974456,140.77,56.81906697223819,64.71,Hold,Sell,False
7998,138.19579267094127,131.53,55.85777088087224,47.45,Hold,Buy,False
7999,138.2231099368144,137.04,57.59359218816563,59.1,Buy,Sell,False
8000,134.01858622459542,129.92,54.40085924634642,45.58,Hold,Buy,False
8001,133.75444148130808,120.99,53.07285523282633,26.73,Buy,Hold,False
8002,137.9412288067535,140.86,57.61957616550544,68.36,Buy,Sell,False
8003,135.17766224352903,136.97,56.516997796203235,62.39,Hold,Hold,True
8004,135.38579156441028,127.73,56.41418172873195,41.3,Buy,Buy,True
8005,135.05586979710176,152.75,58.47267467992428,89.61,Hold,Sell,False
8006,134.6991105308844,129.36,55.22207172432267,42.69,Buy,Buy,True
8007,135.98026021290556,131.04,56.13605866819404,47.87,Hold,Hold,True
8008,134.80561911662699,141.74,55.28883550627451,69.18,Buy,Sell,False
8009,135.93318004353296,128.26,56.11204760038099,43.93,Hold,Buy,False
8010,135.52118549441522,139.03,55.96413087135503,61.42,Hold,Hold,True
8011,135.32063900909827,130.8,55.89841944366825,45.71,Hold,Hold,True
8012,135.65151890867259,144.2,55.93303920288654,74.71,Hold,Hold,True
8013,134.29394502880675,144.35,57.11797978853142,74.38,Buy,Sell,False
8014,139.31711567595966,144.45,62.735197157730695,73.33,Sell,Hold,False
8015,138.05798947071483,134.73,61.97419396531852,55.33,Buy,Hold,False
8016,139.98493278981064,140.7,64.1208822609328,71.27,Buy,Hold,False
8017,138.98773974724185,137.98,65.78621242460859,64.99,Sell,Hold,False
8018,138.56134052304694,130.51,58.68481841115353,47.04,Hold,Buy,False
8019,137.06826771195895,137.0,60.7422308050339,58.62,Buy,Hold,False
8020,136.96050074996623,132.61,59.47989839739226,49.03,Sell,Hold,False
8021,137.07369887033207,133.05,59.55678778073242,53.41,Buy,Hold,False
8022,136.91907586628838,140.27,59.95731876819654,68.08,Buy,Sell,False
8023,136.9614226523165,130.93,58.68964543680896,48.7,Sell,Buy,False
8024,137.05744519787797,140.62,60.576542790762666,66.99,Buy,Sell,False
8025,134.11636327574655,127.31,56.162009261693086,45.94,Hold,Buy,False
8026,134.48262055944224,134.01,56.12772964240164,52.78,Sell,Hold,False
8027,134.48030402621424,130.76,55.311107632259976,46.7,Buy,Hold,False
8028,135.66882558475322,135.39,53.78300427998197,59.2,Hold,Hold,True
8029,134.61962119822778,134.89,55.02993472983136,54.96,Hold,Hold,True
8030,141.36579678390942,154.82,97.77170650110604,96.62,Buy,Sell,False
8031,150.21770543563125,136.29,83.68355030076437,59.35,Hold,Buy,False
8032,136.1809409022769,131.32,59.47201924940346,47.61,Hold,Hold,True
8033,135.9647405642981,152.29,59.30575481685113,90.54,Hold,Sell,False
8034,140.74294877921065,134.97,63.630857566418605,54.03,Sell,Buy,False
8035,136.55866503936753,126.89,58.58620776279564,38.08,Buy,Hold,False
8036,137.90887899561253,145.37,59.87881497257583,74.86,Buy,Sell,False
8037,139.3260064234756,147.74,61.940283350660636,82.26,Sell,Hold,False
8038,138.80232310249534,126.95,62.83570480324438,37.47,Buy,Buy,True
8039,138.84395103364045,145.59,62.4628384549585,78.31,Hold,Sell,False
8040,137.23821695493666,123.76,61.70347348170276,30.89,Buy,Buy,True
8041,137.48651596888345,130.3,60.355274316318706,47.52,Sell,Hold,False
8042,136.2901298920162,143.6,58.924432015592075,71.69,Hold,Sell,False
8043,133.25224336310828,127.46,59.142432209966145,41.05,Hold,Buy,False
8044,131.20510093230286,130.35,57.222542763725144,46.05,Hold,Hold,True
8045,136.33934568058982,158.18,57.51654987866239,101.3,Hold,Sell,False
8046,135.67937020338718,128.63,59.33264726856574,40.76,Hold,Buy,False
8047,136.66621138655083,136.76,58.428540698570046,57.14,Buy,Hold,False
8048,137.02872396657554,138.36,59.613847836237575,59.44,Sell,Hold,False
8049,137.3739020453174,133.1,60.3754951924765,51.22,Hold,Hold,True
8050,137.00442406331308,135.92,59.12810541302558,55.35,Hold,Hold,True
8051,136.33138553637397,140.48,57.8987243001578,65.29,Buy,Sell,False
8052,136.27612522547057,135.28,57.661804820005315,56.09,Buy,Hold,False
8053,135.457568430991,141.37,55.14337521564778,67.96,Buy,Hold,False
8054,136.68583072912134,127.91,58.25682178541048,41.12,Sell,Buy,False
8055,137.37497208285322,133.0,59.04730048312241,51.87,Buy,Hold,False
